Brand,Model,Type,State,City,Gender,Size,Color,Material,Price (USD),Units Sold,Total Sales
Nike,Air Jordan 1,Basketball,New York,New York,Men,10,Red/Black,Leather,170,1200,600000
Adidas,Ultra Boost 21,Running,New York,New York,Men,9.5,Black,Primeknit,180,1000,500000
Reebok,Classic Leather,Casual,New York,New York,Men,11,White,Leather,75,1000,400000
Converse,Chuck Taylor,Casual,New York,New York,Women,8,Navy,Canvas,55,850,382500
Puma,Future Rider,Lifestyle,New York,New York,Women,7.5,Pink,Mesh,80,900,540000
Vans,Old Skool,Skate,New York,New York,Men,8.5,Black/White,Suede/Canvas,65,1000,500000
New Balance,990v5,Running,New York,New York,Women,6.5,Grey,Suede/Mesh,175,1250,625000
Asics,Gel-Kayano 28,Running,New York,New York,Men,10.5,Blue,Mesh,160,900,450000
Fila,Disruptor II,Fashion,New York,New York,Women,9,White,Leather/Synthetic,65,950,380000
Skechers,Go Run Razor 3,Running,New York,New York,Men,9,Black,Mesh,110,825,371250
Nike,Air Max 270,Running,New York,New York,Women,7,Pink,Mesh,150,900,540000
Adidas,Stan Smith,Casual,New York,New York,Men,9,White/Green,Leather,80,1000,500000
Reebok,Club C 85,Casual,New York,New York,Women,8.5,Pink,Leather,70,1220,610000
Converse,One Star,Skate,New York,New York,Men,10,Black,Suede,75,925,462500
Puma,RS-Fast,Lifestyle,New York,New York,Men,9.5,Yellow,Leather/Synthetic,110,950,380000
Vans,Authentic,Skate,New York,New York,Women,6,White,Canvas,50,800,360000
New Balance,Fresh Foam 1080v11,Running,New York,New York,Men,11.5,Blue,Mesh,150,850,510000
Asics,Gel-Nimbus 23,Running,New York,New York,Women,8,Purple,Mesh,150,950,475000
Fila,Ray Tracer,Fashion,New York,New York,Men,10,Black,Synthetic,70,1200,600000
Skechers,Arch Fit,Walking,New York,New York,Women,7.5,Grey,Mesh,70,900,450000
Nike,Air Force 1,Casual,New York,New York,Men,10,White,Leather,90,900,360000
Adidas,NMD_R1,Running,New York,New York,Women,8.5,Black/Pink,Primeknit,140,825,371250
Reebok,Zig Kinetica II,Running,New York,New York,Men,11,White,Mesh,120,825,495000
Converse,Jack Purcell,Casual,New York,New York,Women,7.5,Navy,Canvas,65,950,475000
Puma,Calibrate Runner,Running,New York,New York,Men,9.5,Black,Mesh,80,1220,732000
Vans,Sk8-Hi,Skate,New York,New York,Women,8,Black/White,Suede/Canvas,70,925,508750
New Balance,327,Lifestyle,New York,New York,Men,10,Blue/Orange,Suede/Mesh,90,900,450000
